Province/State,lat,lng,Country/Region,Last Update,Confirmed,Deaths,Recovered
Hebei,37.8956594,114.9042208,China,5,18,1,0
Gansu,35.7518326,104.2861116,China,5,14,0,0
Shanxi,37.2425649,111.8568586,China,5,13,0,0
Inner Mongolia,43.37822,115.0594815,China,5,11,0,0
Hong Kong,22.3193039,114.1693611,Hong Kong,5,8,0,0
Guizhou,26.8429645,107.2902839,China,5,7,0,0
Ningxia,37.198731,106.1580937,China,5,7,0,0
Jilin,43.837883,126.549572,China,5,6,0,0
Macau,22.198745,113.543873,Macau,5,6,0,0
Qinghai,35.744798,96.4077358,China,5,6,0,0
Taiwan,23.69781,120.960515,Taiwan,5,5,0,0
Xinjiang,42.5246357,87.5395855,China,5,5,0,0
Washington,47.7510741,-120.7401385,US,5,1,0,0
Illinois,40.6331249,-89.3985283,US,5,1,0,0
California,36.778261,-119.4179324,US,5,2,0,0
Arizona,34.0489281,-111.0937311,US,5,1,0,0
Tokyo,35.6803997,139.7690174,Japan,5,4,0,1
Bangkok,13.7563309,100.5017651,Thailand,5,8,0,2
Seoul,37.566535,126.9779692,South Korea,5,4,0,0
Singapore,1.352083,103.819836,Singapore,5,5,0,0
Ho Chi Minh City,10.8230989,106.6296638,Vietnam,5,2,0,0
Paris,48.856614,2.3522219,France,5,3,0,0
Kathmandu,27.7172453,85.3239605,Nepal,5,1,0,0
Kuala Lumpur,3.139003,101.686855,Malaysia,5,4,0,0
Ontario,51.253775,-85.323214,Canada,5,1,0,0
Phnom Penh,11.5563738,104.9282099,Cambodia,5,1,0,0
Colombo,6.9270786,79.861243,Sri Lanka,5,1,0,0
Abidjan,5.3599517,-4.0082563,Ivory Coast,5,1,0,0
New South Wales,-31.2532183,146.921099,Australia,5,4,0,0
Victoria,28.8052674,-97.0035982,Australia,5,1,0,0
Guangdong,23.3790333,113.7632828,China,6,207,0,4
Zhejiang,29.1416432,119.7889248,China,6,173,0,3
Henan,34.2904302,113.3823545,China,6,168,1,0
Hunan,27.6252995,111.8568586,China,6,143,0,0
Chongqing,29.4315861,106.912251,China,6,132,0,0
Jiangxi,27.0874564,114.9042208,China,6,109,0,3
Anhui,30.6006773,117.9249002,China,6,106,0,0
Shandong,35.8939566,117.9249002,China,6,95,0,0
Beijing,39.9041999,116.4073963,China,6,91,1,4
Sichuan,30.2638032,102.8054753,China,6,90,0,0
Fujian,26.4836842,117.9249002,China,6,80,0,0
Jiangsu,33.1401715,119.7889248,China,6,70,0,1
Shanghai,31.230416,121.473701,China,6,66,1,4
Guangxi,23.7247599,108.8076195,China,6,51,0,2
Shaanxi,35.3939908,109.1880047,China,6,46,0,0
Yunnan,24.4752847,101.3431058,China,6,44,0,0
Hainan,19.5663947,109.949686,China,6,40,1,0
Liaoning,41.9436543,122.5290376,China,6,34,0,0
Hebei,37.8956594,114.9042208,China,6,33,1,0
Heilongjiang,47.1216472,128.738231,China,6,33,1,0
Shanxi,37.2425649,111.8568586,China,6,27,0,0
Tianjin,39.3433574,117.3616476,China,6,24,0,0
Gansu,35.7518326,104.2861116,China,6,19,0,0
Inner Mongolia,43.37822,115.0594815,China,6,15,0,0
Ningxia,37.198731,106.1580937,China,6,11,0,0
